frame,energy_per_atom,REF_energy_per_atom,volume,lattice
146,,-697.175324015,320.856586924,4.536629 0 0 0 8.273152 0.501436 0 -0.104689 8.542485
147,,-697.423245589,183.595123557,5.867737 -0.441173 -0.495619 -1.047978 5.790226 -0.495619 -1.047978 -1.163064 5.693824
148,,-697.487841446,180.259350491,4.102184 0 0 0 5.047562 0 -2.051092 0 8.705646
149,,-697.612091926,195.242072788,4.593007 0 0 -2.296504 3.977661 0 0 0 10.686821
150,,-697.353470781,342.642452911,7.46809 -0.248307 -0.18086 3.081661 6.807157 -0.18086 3.081661 1.915889 6.534483
151,,-697.563203188,284.616167377,4.600095 0 0 0 7.927363 0.298862 0 -1.743082 7.739126
152,,-697.433983569,189.769469257,4.398529 0 0 -2.199265 3.809238 0 0 0 11.32611
153,,-697.388134345,324.704780182,3.13102 0 0 0 8.026933 0 0 0 12.919723
154,,-697.483807133,249.654213564,5.571637 0.340332 -0.370698 1.551933 5.361946 -0.370698 2.347416 1.87906 8.262768
155,,-697.531086449,505.246633621,6.49845 0 0 0 8.839772 0 0 0 8.795339
156,,-697.319683596,181.796664131,6.358216 0 0 0 6.358216 0 -3.179108 -3.179108 4.496922
157,,-697.511704473,313.653314864,6.464935 0 0 -3.232467 5.598798 0 0 0 8.665446
158,,-697.436960589,249.955629604,5.52702 0.390124 -0.258516 1.590748 5.307511 -0.258516 2.476011 1.981998 8.525113
159,,-697.192838584,215.115292725,6.009742 -0.161804 -0.142976 0.683291 5.972964 -0.142976 0.683291 0.593261 5.945148
160,,-697.259480747,279.391392151,3.999961 -0.043992 -0.043872 0.045251 8.357102 0.011441 0.045251 0.034163 8.35704
161,,-697.249841407,162.989174478,4.53242 0 0 -2.26621 3.925191 0 0 0 9.161526
162,,-697.373693669,350.830717693,4.612845 0 0 0 8.738145 1.317612 0 0.669129 8.804709
163,,-697.395545528,167.119389594,5.764438 -0.000537 -0.000437 2.669497 5.588943 0.565407 2.669497 1.688381 5.357737
164,,-697.292820998,254.29964264,5.348213 0 0 -2.674107 4.631689 0 0 0 10.265915
