frame,atom,fx,fy,fz,REF_fx,REF_fy,REF_fz
19,0,0.0110632,0.11024347,0.03007317,0.02097,0.11475,0.00042
19,1,0.01106157,-0.11024311,0.03008754,0.02097,-0.11475,0.0004
19,2,0.00970238,0.20692227,-0.06231056,0.01068,0.29733,-0.04617
19,3,0.00970472,-0.20692254,-0.06234579,0.01068,-0.29733,-0.04617
19,4,0.01696553,-0.01912732,0.13198926,0.0261,0.05589,0.13791
19,5,0.01696582,0.01913901,0.13197985,0.0261,-0.05589,0.13791
19,6,-0.03773147,0.06977761,-0.0997324,-0.05775,0.16084,-0.09216
19,7,-0.03773175,-0.06978939,-0.09974107,-0.05775,-0.16083,-0.09215
20,0,-0.01633755,-0.00903814,0.03962897,-0.01104,-0.01207,0.07517
20,1,0.01633787,0.0090357,0.03961841,0.0111,0.01209,0.07524
20,2,-0.03475491,-0.02017272,-0.06423832,-0.03149,-0.01437,-0.09945
20,3,0.03475701,0.02016523,-0.06423801,0.03159,0.01447,-0.09952
20,4,-0.01305809,0.00381148,0.07950547,-0.02165,0.00352,0.11514
20,5,0.01305899,-0.00380926,0.07948151,0.02161,-0.00355,0.11523
20,6,0.02016368,-0.02584157,-0.05487686,0.03358,-0.02941,-0.09087
20,7,-0.020167,0.02584928,-0.05488117,-0.0337,0.02932,-0.09095
21,0,-0.02149349,-0.01900154,-0.34619059,-0.02213,-0.02705,-0.42397
21,1,-0.02149349,0.01900154,0.34619059,-0.02211,0.02707,0.42396
21,2,-0.02148899,0.01899269,-0.34619069,-0.02363,0.02468,-0.42342
21,3,-0.02148899,-0.01899269,0.34619069,-0.02365,-0.02469,0.42341
21,4,0.02149099,0.26256104,0.3010001,0.02257,0.28393,0.36813
21,5,0.02149099,-0.26256104,-0.3010001,0.02259,-0.28395,-0.36813
21,6,0.02149149,-0.26256725,0.30100109,0.02319,-0.2815,0.36739
21,7,0.02149149,0.26256725,-0.30100109,0.02316,0.2815,-0.36737
22,0,-0.02094864,-0.1715294,-0.12899713,-0.02657,-0.19368,-0.11387
22,1,-0.020949,-0.02596772,0.21304668,-0.02602,-0.00817,0.22466
22,2,-0.02094606,0.19748102,-0.08404072,-0.02621,0.18881,-0.10375
22,3,0.04904104,-0.18806453,0.03155706,0.04168,-0.06999,-0.02419
22,4,0.04904337,0.12136809,0.14708465,0.04164,0.00546,0.07124
22,5,0.04904275,0.06671217,-0.17865125,0.04118,0.05329,-0.0406
22,6,-0.04297308,-0.04397673,-0.05065432,-0.03533,-0.11677,-0.0216
22,7,-0.04296801,-0.02188802,0.06341941,-0.03478,0.04761,0.11307
22,8,-0.04296919,0.06584663,-0.01275419,-0.03492,0.08068,-0.09792
22,9,0.01487815,0.01459289,0.0169348,0.01991,-0.03045,0.04876
22,10,0.01487479,0.00737863,-0.02111146,0.01969,0.06767,0.00483
22,11,0.01487388,-0.02195302,0.00416647,0.01973,-0.02447,-0.06063
23,0,-0.04911878,0.0637678,0.01958239,-0.06688,0.09045,0.00746
23,1,-0.04910991,-0.01492063,-0.06501567,-0.06736,-0.03944,-0.08144
23,2,-0.04911413,-0.04883971,0.0454301,-0.06705,-0.05062,0.07363
23,3,-0.10031684,0.28456825,-0.0646926,-0.09707,0.19884,-0.02384
23,4,-0.10031306,-0.19830693,-0.21410105,-0.09674,-0.12072,-0.16128
23,5,-0.1003136,-0.08625427,0.27879182,-0.09804,-0.07857,0.18521
23,6,0.06051572,0.0832337,0.46071069,0.12923,0.00717,0.37935
